sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010004	TSC2	TRUE	4	0.980979504034964	0.942177258191951	0.998614058852249	0.808135965845629	1.96195900806993	1.8843545163839	1.9972281177045	1.61627193169126	0.000403473275902707	3.39418522553261
A269010005	CCND1	FALSE	5	0.878799403393383	0.878290221595812	0.909383485564747	0.848912655541372	1.75759880678677	1.75658044319162	1.81876697112949	1.69782531108274	0.0814482034528783	1.08911849071835
A269010005	CDK4	FALSE	7	0.938533441868739	0.934367995852956	1.02988015928486	0.874909475028455	1.87706688373748	1.86873599170591	2.05976031856972	1.74981895005691	0.653070020552132	0.185040252248456
A269010005	CREBBP	FALSE	29	0.993646331562951	0.984714004053675	1.11912458009975	0.846125367631697	1.9872926631259	1.96942800810735	2.2382491601995	1.69225073526339	0.0547285384271235	1.26178614991178
A269010005	DDR2	FALSE	7	0.90479320062528	0.900451328486718	0.948237555662099	0.838529071664514	1.80958640125056	1.80090265697344	1.8964751113242	1.67705814332903	0.0657455955245466	1.1821333364269
A269010005	EGFR	FALSE	29	0.95051350364515	0.959179028083043	1.14337452621301	0.848417662960337	1.9010270072903	1.91835805616609	2.28674905242602	1.69683532592067	0.0493467831978583	1.30674115271984
A269010005	ERBB2	FALSE	21	1.02386212054616	1.04337475983794	1.19949342581589	0.957540845647902	2.04772424109233	2.08674951967587	2.39898685163178	1.9150816912958	0.318014867903904	0.497552575305881
A269010005	FGFR3	FALSE	16	0.894999264728461	0.893622165201458	0.97462371484513	0.839809245261009	1.78999852945692	1.78724433040292	1.94924742969026	1.67961849052202	0.0682801650273118	1.16570543790346
A269010005	GATA3	FALSE	7	0.864325360292339	0.895596351278345	0.995692275969768	0.825532603664128	1.72865072058468	1.79119270255669	1.99138455193954	1.65106520732826	0.0527728863143385	1.27758915224868
A269010005	MDM2	FALSE	13	1.03757265579394	1.04153074277285	1.1404238417452	0.974196311526459	2.07514531158788	2.0830614855457	2.2808476834904	1.94839262305292	0.172351289523196	0.763585462875625
A269010005	MET	FALSE	25	1.00628434852092	1.02179789699788	1.15825173515812	0.928704066054302	2.01256869704183	2.04359579399576	2.31650347031624	1.8574081321086	0.142978406123216	0.844729548616596
A269010005	NBN	FALSE	17	1.63576790678663	1.64899951598556	1.79278519455815	1.28095502568276	3.27153581357326	3.29799903197111	3.5855703891163	2.56191005136553	0.0645993996150719	1.18977151830635
A269010005	NTRK1	FALSE	8	0.874102890720121	0.878696745006854	0.938757356622635	0.851547432943723	1.74820578144024	1.75739349001371	1.87751471324527	1.70309486588745	0.104107044474441	0.982519882661722
A269010005	Other	FALSE	284	1.08815538354508	1.07913691468143	1.56997637102665	0.562681885466919	2.17631076709017	2.15827382936287	3.13995274205331	1.12536377093384	0.0475408034893279	1.3229334825146
A269010005	PTEN	FALSE	9	1.13282328886276	1.09603948498428	1.20792069975027	0.90894735427513	2.26564657772551	2.19207896996856	2.41584139950053	1.81789470855026	0.198446428590846	0.702356712615951
A269010005	RET	FALSE	12	0.886272219980297	0.904612438261236	1.02506267532394	0.832430367308481	1.77254443996059	1.80922487652247	2.05012535064788	1.66486073461696	0.0447809424507637	1.34890677058595
A269010005	TSC2	FALSE	4	1.07122246061887	1.06590955973242	1.10367776906361	1.01751554862831	2.14244492123775	2.13181911946483	2.20735553812722	2.03503109725661	0.107705850028838	0.967760707414694
A269010006	CCND1	FALSE	5	1.00263278697348	0.962828967580668	1.02661846301997	0.818333550994391	2.00526557394695	1.92565793516134	2.05323692603995	1.63666710198878	0.181485842041116	0.741157249213253
A269010006	CDK4	FALSE	7	0.944087303108784	0.924502464967847	0.995576135749768	0.849146180354686	1.88817460621757	1.84900492993569	1.99115227149954	1.69829236070937	0.515318502250424	0.287924264135071
